final_position	id	word	candidate_rank	source	existing_id	lesson_number	category	subcategory	folder	lesson_title
1	4001	品切れ		existing	4001	1	Daily Life	Shopping	shopping	Shopping • Supermarket
2	4002	在庫		existing	4002	1	Daily Life	Shopping	shopping	Shopping • Supermarket
3	4003	割引		existing	4003	1	Daily Life	Shopping	shopping	Shopping • Supermarket
4	4004	値上がり		existing	4004	1	Daily Life	Shopping	shopping	Shopping • Supermarket
5	4005	賞味期限		existing	4005	1	Daily Life	Shopping	shopping	Shopping • Supermarket
6	4006	消費期限		existing	4006	1	Daily Life	Shopping	shopping	Shopping • Supermarket
7	4007	日用品		existing	4007	1	Daily Life	Shopping	shopping	Shopping • Supermarket
8	4008	まとめ買い		existing	4008	1	Daily Life	Shopping	shopping	Shopping • Supermarket
9	4009	返品		existing	4009	1	Daily Life	Shopping	shopping	Shopping • Supermarket
10	4010	レシート		existing	4010	1	Daily Life	Shopping	shopping	Shopping • Supermarket
11	4011	家賃		existing	4011	2	Daily Life	Apartment	apartment	Apartment • Renting
12	4012	敷金		existing	4012	2	Daily Life	Apartment	apartment	Apartment • Renting
13	4013	契約		existing	4013	2	Daily Life	Apartment	apartment	Apartment • Renting
14	4014	大家		existing	4014	2	Daily Life	Apartment	apartment	Apartment • Renting
15	4015	更新		existing	4015	2	Daily Life	Apartment	apartment	Apartment • Renting
16	4016	引っ越し		existing	4016	2	Daily Life	Apartment	apartment	Apartment • Renting
17	4017	騒音		existing	4017	2	Daily Life	Apartment	apartment	Apartment • Renting
18	4018	家具		existing	4018	2	Daily Life	Apartment	apartment	Apartment • Renting
19	4019	収納		existing	4019	2	Daily Life	Apartment	apartment	Apartment • Renting
20	4020	光熱費		existing	4020	2	Daily Life	Apartment	apartment	Apartment • Renting
21	4021	天気予報		existing	4021	3	Daily Life	Weather	weather	Weather • Forecast
22	4022	気温		existing	4022	3	Daily Life	Weather	weather	Weather • Forecast
23	4023	湿度		existing	4023	3	Daily Life	Weather	weather	Weather • Forecast
24	4024	台風		existing	4024	3	Daily Life	Weather	weather	Weather • Forecast
25	4025	降水確率		existing	4025	3	Daily Life	Weather	weather	Weather • Forecast
26	4026	晴天		existing	4026	3	Daily Life	Weather	weather	Weather • Forecast
27	4027	曇り		existing	4027	3	Daily Life	Weather	weather	Weather • Forecast
28	4028	大雨		existing	4028	3	Daily Life	Weather	weather	Weather • Forecast
29	4029	蒸し暑い		existing	4029	3	Daily Life	Weather	weather	Weather • Forecast
30	4030	猛暑		existing	4030	3	Daily Life	Weather	weather	Weather • Forecast
31	4031	定期券		existing	4031	4	Daily Life	Transportation	transportation	Trains • Commuting
32	4032	満員		existing	4032	4	Daily Life	Transportation	transportation	Trains • Commuting
33	4033	遅延		existing	4033	4	Daily Life	Transportation	transportation	Trains • Commuting
34	4034	乗り換え		existing	4034	4	Daily Life	Transportation	transportation	Trains • Commuting
35	4035	各駅停車		existing	4035	4	Daily Life	Transportation	transportation	Trains • Commuting
36	4036	改札		existing	4036	4	Daily Life	Transportation	transportation	Trains • Commuting
37	4037	渋滞		existing	4037	4	Daily Life	Transportation	transportation	Trains • Commuting
38	4038	終電		existing	4038	4	Daily Life	Transportation	transportation	Trains • Commuting
39	4039	運賃		existing	4039	4	Daily Life	Transportation	transportation	Trains • Commuting
40	4040	通勤		existing	4040	4	Daily Life	Transportation	transportation	Trains • Commuting
41	4041	症状		existing	4041	5	Daily Life	Health	health	Health • Hospital
42	4042	診察		existing	4042	5	Daily Life	Health	health	Health • Hospital
43	4043	処方		existing	4043	5	Daily Life	Health	health	Health • Hospital
44	4044	保険証		existing	4044	5	Daily Life	Health	health	Health • Hospital
45	4045	熱中症		existing	4045	5	Daily Life	Health	health	Health • Hospital
46	4046	花粉症		existing	4046	5	Daily Life	Health	health	Health • Hospital
47	4047	検査		existing	4047	5	Daily Life	Health	health	Health • Hospital
48	4048	入院		existing	4048	5	Daily Life	Health	health	Health • Hospital
49	4049	疲労		existing	4049	5	Daily Life	Health	health	Health • Hospital
50	4050	副作用		existing	4050	5	Daily Life	Health	health	Health • Hospital
51	4051	残業		existing	4051	6	Work & Business	Work	work	Work • Office
52	4052	出張		existing	4052	6	Work & Business	Work	work	Work • Office
53	4053	上司		existing	4053	6	Work & Business	Work	work	Work • Office
54	4054	部下		existing	4054	6	Work & Business	Work	work	Work • Office
55	4055	提出		existing	4055	6	Work & Business	Work	work	Work • Office
56	4056	資料		existing	4056	6	Work & Business	Work	work	Work • Office
57	4057	有給休暇		existing	4057	6	Work & Business	Work	work	Work • Office
58	4058	昇進		existing	4058	6	Work & Business	Work	work	Work • Office
59	4059	転職		existing	4059	6	Work & Business	Work	work	Work • Office
60	4060	面接		existing	4060	6	Work & Business	Work	work	Work • Office
61	4061	口座		existing	4061	7	Work & Business	Money	money	Money • Banking
62	4062	振り込み		existing	4062	7	Work & Business	Money	money	Money • Banking
63	4063	手数料		existing	4063	7	Work & Business	Money	money	Money • Banking
64	4064	残高		existing	4064	7	Work & Business	Money	money	Money • Banking
65	4065	貯金		existing	4065	7	Work & Business	Money	money	Money • Banking
66	4066	支払い		existing	4066	7	Work & Business	Money	money	Money • Banking
67	4067	家計		existing	4067	7	Work & Business	Money	money	Money • Banking
68	4068	節約		existing	4068	7	Work & Business	Money	money	Money • Banking
69	4069	税金		existing	4069	7	Work & Business	Money	money	Money • Banking
70	4070	現金		existing	4070	7	Work & Business	Money	money	Money • Banking
71	4071	材料		existing	4071	8	Daily Life	Cooking	cooking	Cooking • Kitchen
72	4072	冷凍		existing	4072	8	Daily Life	Cooking	cooking	Cooking • Kitchen
73	4073	沸騰		existing	4073	8	Daily Life	Cooking	cooking	Cooking • Kitchen
74	4074	焦げる		existing	4074	8	Daily Life	Cooking	cooking	Cooking • Kitchen
75	4075	味付け		existing	4075	8	Daily Life	Cooking	cooking	Cooking • Kitchen
76	4076	分量		existing	4076	8	Daily Life	Cooking	cooking	Cooking • Kitchen
